County_names,County,Cut
Allen,624,1
Anderson,652,2
Atchison,415,3
Barber,367,4
Barton,233,5
Bourbon,617,6
Brown,425,7
Butler,609,8
Chase,481,9
Chautauqua,663,10
Cherokee,610,11
Cheyenne,582,12
Clark,391,13
Clay,141,14
Cloud,136,15
Coffey,644,16
Commanche,390,17
Cowley,608,18
Crawford,604,19
Decatur,574,20
Dickinson,118,21
Doniphan,445,22
Douglas,416,23
Edwards,379,24
Elk,668,25
Ellis,538,26
Ellsworth,164,27
Finney,371,28
Ford,335,29
Franklin,621,30
Geary,147,31
Gove,588,32
Graham,576,33
Grant,303,34
Gray,389,35
Greeley,305,36
Greenwood,632,37
Hamilton,300,38
Harper,251,39
Harvey,228,40
Haskell,301,41
Hodgeman,393,42
Jackson,442,43
Jefferson,446,44
Jewell,143,45
Johnson,419,46
Kearny,398,47
Kingman,257,48
Kiowa,385,49
Labette,611,50
Lane,397,51
Leavenworth,407,52
Lincoln,166,53
Linn,649,54
Logan,595,55
Lyon,413,56
Marion,123,57
Marshall,120,58
McPherson,226,59
Meade,386,60
Miami,631,61
Mitchell,155,62
Montgomery,605,63
Morris,454,64
Morton,394,65
Nemaha,434,66
Neosho,622,67
Ness,575,68
Norton,561,69
Osage,629,70
Osborne,156,71
Ottawa,165,72
Pawnee,369,73
Phillips,558,74
Pottawatomie,439,75
Pratt,253,76
Rawlins,577,77
Reno,206,78
Republic,140,79
Rice,248,80
Riley,130,81
Rooks,570,82
Rush,573,83
Russell,160,84
Saline,114,85
Scott,396,86
Sedgwick,202,87
Seward,384,88
Shawnee,403,89
Sheridan,587,90
Sherman,580,91
Smith,150,92
Stafford,259,93
Stanton,304,94
Stevens,392,95
Sumner,212,96
Thomas,578,97
Trego,583,98
Wabaunsee,462,99
Wallace,599,100
Washington,137,101
Wichita,302,102
Wilson,627,103
Woodson,672,104
Wyandotte,401,105
